Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
07/27/2022,01/01/2020,07/23/2022,Female,0-05 Months,19659,103
07/27/2022,01/01/2020,07/23/2022,Male,0-05 Months,24188,126
07/27/2022,01/01/2020,07/23/2022,Female,06-11 Months,1639,32
07/27/2022,01/01/2020,07/23/2022,Male,06-11 Months,2111,45
07/27/2022,01/01/2020,07/23/2022,Female,01 Year,1567,34
07/27/2022,01/01/2020,07/23/2022,Male,01 Year,1977,48
07/27/2022,01/01/2020,07/23/2022,Female,02 Years,998,18
07/27/2022,01/01/2020,07/23/2022,Male,02 Years,1323,14
07/27/2022,01/01/2020,07/23/2022,Female,03 Years,762,11
07/27/2022,01/01/2020,07/23/2022,Male,03 Years,1062,15
07/27/2022,01/01/2020,07/23/2022,Female,04 Years,625,18
07/27/2022,01/01/2020,07/23/2022,Male,04 Years,815,7
07/27/2022,01/01/2020,07/23/2022,Female,05 Years,563,14
07/27/2022,01/01/2020,07/23/2022,Male,05 Years,777,16
07/27/2022,01/01/2020,07/23/2022,Female,06 Years,525,15
07/27/2022,01/01/2020,07/23/2022,Male,06 Years,685,14
07/27/2022,01/01/2020,07/23/2022,Female,07 Years,502,15
07/27/2022,01/01/2020,07/23/2022,Male,07 Years,612,13
07/27/2022,01/01/2020,07/23/2022,Female,08 Years,461,11
07/27/2022,01/01/2020,07/23/2022,Male,08 Years,549,14
07/27/2022,01/01/2020,07/23/2022,Female,09 Years,441,13
07/27/2022,01/01/2020,07/23/2022,Male,09 Years,607,26
07/27/2022,01/01/2020,07/23/2022,Female,10 Years,490,15
07/27/2022,01/01/2020,07/23/2022,Male,10 Years,682,16
07/27/2022,01/01/2020,07/23/2022,Female,11 Years,531,16
07/27/2022,01/01/2020,07/23/2022,Male,11 Years,773,14
07/27/2022,01/01/2020,07/23/2022,Female,12 Years,655,19
07/27/2022,01/01/2020,07/23/2022,Male,12 Years,857,24
07/27/2022,01/01/2020,07/23/2022,Female,13 Years,794,31
07/27/2022,01/01/2020,07/23/2022,Male,13 Years,1225,29
07/27/2022,01/01/2020,07/23/2022,Female,14 Years,928,29
07/27/2022,01/01/2020,07/23/2022,Male,14 Years,1664,20
07/27/2022,01/01/2020,07/23/2022,Female,15 Years,1090,48
07/27/2022,01/01/2020,07/23/2022,Male,15 Years,2269,45
07/27/2022,01/01/2020,07/23/2022,Female,16 Years,1377,37
07/27/2022,01/01/2020,07/23/2022,Male,16 Years,3167,55
07/27/2022,01/01/2020,07/23/2022,Female,17 Years,1622,60
07/27/2022,01/01/2020,07/23/2022,Male,17 Years,4248,71
07/27/2022,01/01/2020,07/23/2022,Female,18 Years,2141,64
07/27/2022,01/01/2020,07/23/2022,Male,18 Years,5847,110
07/27/2022,01/01/2020,07/23/2022,Female,19 Years,2330,99
07/27/2022,01/01/2020,07/23/2022,Male,19 Years,6968,148
07/27/2022,01/01/2020,07/23/2022,Female,20 Years,2647,117
07/27/2022,01/01/2020,07/23/2022,Male,20 Years,7351,156
07/27/2022,01/01/2020,07/23/2022,Female,21 Years,2964,115
07/27/2022,01/01/2020,07/23/2022,Male,21 Years,8308,196
07/27/2022,01/01/2020,07/23/2022,Female,22 Years,3035,188
07/27/2022,01/01/2020,07/23/2022,Male,22 Years,8773,222
07/27/2022,01/01/2020,07/23/2022,Female,23 Years,3390,183
07/27/2022,01/01/2020,07/23/2022,Male,23 Years,9052,270
07/27/2022,01/01/2020,07/23/2022,Female,24 Years,3468,201
07/27/2022,01/01/2020,07/23/2022,Male,24 Years,9655,334
07/27/2022,01/01/2020,07/23/2022,Female,25 Years,3887,234
07/27/2022,01/01/2020,07/23/2022,Male,25 Years,10335,334
07/27/2022,01/01/2020,07/23/2022,Female,26 Years,4152,259
07/27/2022,01/01/2020,07/23/2022,Male,26 Years,10979,410
07/27/2022,01/01/2020,07/23/2022,Female,27 Years,4600,314
07/27/2022,01/01/2020,07/23/2022,Male,27 Years,11791,483
07/27/2022,01/01/2020,07/23/2022,Female,28 Years,4951,334
07/27/2022,01/01/2020,07/23/2022,Male,28 Years,12611,580
07/27/2022,01/01/2020,07/23/2022,Female,29 Years,5571,390
07/27/2022,01/01/2020,07/23/2022,Male,29 Years,13526,676
07/27/2022,01/01/2020,07/23/2022,Female,30 Years,6027,511
07/27/2022,01/01/2020,07/23/2022,Male,30 Years,14351,733
07/27/2022,01/01/2020,07/23/2022,Female,31 Years,6238,532
07/27/2022,01/01/2020,07/23/2022,Male,31 Years,14813,838
07/27/2022,01/01/2020,07/23/2022,Female,32 Years,6746,593
07/27/2022,01/01/2020,07/23/2022,Male,32 Years,14939,879
07/27/2022,01/01/2020,07/23/2022,Female,33 Years,7083,599
07/27/2022,01/01/2020,07/23/2022,Male,33 Years,15293,973
07/27/2022,01/01/2020,07/23/2022,Female,34 Years,7324,647
07/27/2022,01/01/2020,07/23/2022,Male,34 Years,15498,1099
07/27/2022,01/01/2020,07/23/2022,Female,35 Years,7673,695
07/27/2022,01/01/2020,07/23/2022,Male,35 Years,15964,1143
07/27/2022,01/01/2020,07/23/2022,Female,36 Years,8090,749
07/27/2022,01/01/2020,07/23/2022,Male,36 Years,16454,1255
07/27/2022,01/01/2020,07/23/2022,Female,37 Years,8611,786
07/27/2022,01/01/2020,07/23/2022,Male,37 Years,17036,1418
07/27/2022,01/01/2020,07/23/2022,Female,38 Years,9115,922
07/27/2022,01/01/2020,07/23/2022,Male,38 Years,17545,1469
07/27/2022,01/01/2020,07/23/2022,Female,39 Years,9688,997
07/27/2022,01/01/2020,07/23/2022,Male,39 Years,18653,1662
07/27/2022,01/01/2020,07/23/2022,Female,40 Years,10195,1147
07/27/2022,01/01/2020,07/23/2022,Male,40 Years,19201,1698
07/27/2022,01/01/2020,07/23/2022,Female,41 Years,10718,1167
07/27/2022,01/01/2020,07/23/2022,Male,41 Years,19792,1940
07/27/2022,01/01/2020,07/23/2022,Female,42 Years,10991,1313
07/27/2022,01/01/2020,07/23/2022,Male,42 Years,19792,2105
07/27/2022,01/01/2020,07/23/2022,Female,43 Years,11461,1410
07/27/2022,01/01/2020,07/23/2022,Male,43 Years,20375,2237
07/27/2022,01/01/2020,07/23/2022,Female,44 Years,11871,1487
07/27/2022,01/01/2020,07/23/2022,Male,44 Years,20933,2582
07/27/2022,01/01/2020,07/23/2022,Female,45 Years,12477,1553
07/27/2022,01/01/2020,07/23/2022,Male,45 Years,21485,2754
07/27/2022,01/01/2020,07/23/2022,Female,46 Years,13485,1754
07/27/2022,01/01/2020,07/23/2022,Male,46 Years,22802,3012
07/27/2022,01/01/2020,07/23/2022,Female,47 Years,14392,1823
07/27/2022,01/01/2020,07/23/2022,Male,47 Years,24348,3273
07/27/2022,01/01/2020,07/23/2022,Female,48 Years,15904,2139
07/27/2022,01/01/2020,07/23/2022,Male,48 Years,27027,3729
07/27/2022,01/01/2020,07/23/2022,Female,49 Years,17879,2391
07/27/2022,01/01/2020,07/23/2022,Male,49 Years,30125,4081
