Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,03-21-2021,32.3182,-86.9023,511460,10436,0.0,0.0,1.0,10431.178917377174,4206247.0,0.0,2.040433269463888,84000001.0,USA,85786.01460071362,0.0,2021-03-21,0.0,0.0
Alaska,US,03-21-2021,61.3707,-152.4044,61165,310,0.0,0.0,2.0,8361.071431012446,1824902.0,0.0,0.5068257990680946,84000002.0,USA,249458.61156866635,0.0,2021-03-21,0.0,0.0
American Samoa,US,03-21-2021,-14.271,-170.132,0,0,0.0,0.0,60.0,0.0,2140.0,0.0,0.0,16.0,ASM,3846.084721698028,0.0,2021-03-21,0.0,0.0
Arizona,US,03-21-2021,33.7298,-111.4312,836253,16745,0.0,0.0,4.0,11489.0165395907,8290756.0,0.0,2.0023844458555007,84000004.0,USA,113904.0850193791,0.0,2021-03-21,0.0,0.0
Arkansas,US,03-21-2021,34.9697,-92.3731,328655,5539,0.0,0.0,5.0,10890.534971787432,2810500.0,0.0,1.6853539425841688,84000005.0,USA,93130.6340637099,0.0,2021-03-21,0.0,0.0
California,US,03-21-2021,36.1162,-119.6816,3702332,56688,0.0,0.0,6.0,9371.62406681092,52039801.0,0.0,1.5244115684387824,84000006.0,USA,131705.57627192984,0.0,2021-03-21,0.0,0.0
Colorado,US,03-21-2021,39.0598,-105.3111,450630,6073,0.0,0.0,8.0,7825.15468672292,6720931.0,0.0,1.3476688192086634,84000008.0,USA,116708.44088008204,0.0,2021-03-21,0.0,0.0
Connecticut,US,03-21-2021,41.5978,-72.7554,296691,7832,0.0,0.0,9.0,8321.658256404042,6877464.0,0.0,2.6397834784337912,84000009.0,USA,192900.7117800053,0.0,2021-03-21,0.0,0.0
Delaware,US,03-21-2021,39.3185,-75.5071,92287,1529,0.0,0.0,10.0,9477.347694102473,1514610.0,0.0,1.6567880633241951,84000010.0,USA,155541.79452105437,0.0,2021-03-21,0.0,0.0
Diamond Princess,US,03-21-2021,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0,2021-03-21,0.0,0.0
District of Columbia,US,03-21-2021,38.8974,-77.0268,43229,1050,0.0,0.0,11.0,6125.265498073678,1326918.0,0.0,2.428925027180828,84000011.0,USA,188015.5692746288,0.0,2021-03-21,0.0,0.0
Florida,US,03-21-2021,27.7663,-81.6868,2008349,32742,0.0,0.0,12.0,9350.840826479996,24822702.0,0.0,1.6302943362931444,84000012.0,USA,115574.10354731508,0.0,2021-03-21,0.0,0.0
Georgia,US,03-21-2021,33.0406,-83.6431,1045694,18530,0.0,0.0,13.0,9848.849386522512,7612987.0,0.0,1.7720289109433545,84000013.0,USA,71702.77571120599,0.0,2021-03-21,0.0,0.0
Grand Princess,US,03-21-2021,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0,2021-03-21,0.0,0.0
Guam,US,03-21-2021,13.4443,144.7937,7780,134,0.0,0.0,66.0,4737.287567969116,126742.0,0.0,1.7223650385604112,316.0,GUM,77173.94613618786,0.0,2021-03-21,0.0,0.0
Hawaii,US,03-21-2021,21.0943,-157.4983,29830,454,0.0,0.0,15.0,2106.8288658861816,1209327.0,0.0,1.5219577606436474,84000015.0,USA,85412.17002666908,0.0,2021-03-21,0.0,0.0
Idaho,US,03-21-2021,44.2405,-114.4788,177420,1941,0.0,0.0,16.0,9928.010452893432,664181.0,0.0,1.0940142035847142,84000016.0,USA,37166.02361973404,0.0,2021-03-21,0.0,0.0
Illinois,US,03-21-2021,40.3495,-88.9861,1221863,23357,0.0,0.0,17.0,9642.363161537714,19558920.0,0.0,1.9115891061436512,84000017.0,USA,154349.71816599998,0.0,2021-03-21,0.0,0.0
Indiana,US,03-21-2021,39.8494,-86.2583,677905,12946,0.0,0.0,18.0,10069.56250234878,8624407.0,0.0,1.9097071123535008,84000018.0,USA,128106.45345910464,0.0,2021-03-21,0.0,0.0
Iowa,US,03-21-2021,42.0115,-93.2105,345785,5675,0.0,0.0,19.0,10959.661750769395,1350867.0,0.0,1.64119322700522,84000019.0,USA,42815.753691677215,0.0,2021-03-21,0.0,0.0
Kansas,US,03-21-2021,38.5266,-96.7265,301519,4836,0.0,0.0,20.0,10349.69110778996,1298420.0,0.0,1.6038790258657,84000020.0,USA,44568.48798310103,0.0,2021-03-21,0.0,0.0
Kentucky,US,03-21-2021,37.6681,-84.6701,420828,5738,0.0,0.0,21.0,9419.400211250912,4088421.0,0.0,1.3635024285456292,84000021.0,USA,91511.19609693903,0.0,2021-03-21,0.0,0.0
Louisiana,US,03-21-2021,31.1695,-91.8678,439737,9988,0.0,0.0,22.0,9459.162957102422,5885264.0,0.0,2.271357652414966,84000022.0,USA,126597.65091763584,0.0,2021-03-21,0.0,0.0
Maine,US,03-21-2021,44.6939,-69.3819,48464,729,0.0,0.0,23.0,3605.383674598947,1669404.0,0.0,1.5042093100033014,84000023.0,USA,124192.01733059964,0.0,2021-03-21,0.0,0.0
Maryland,US,03-21-2021,39.0639,-76.8021,400023,8170,0.0,0.0,24.0,6616.675047306507,8463097.0,0.0,2.0423825630026275,84000024.0,USA,139985.85767027034,0.0,2021-03-21,0.0,0.0
Massachusetts,US,03-21-2021,42.2302,-71.5301,614668,13693,0.0,0.0,25.0,8917.921399526413,17931886.0,0.0,2.7440829846356083,84000025.0,USA,260165.0808131676,0.0,2021-03-21,0.0,0.0
Michigan,US,03-21-2021,43.3266,-84.5361,691070,16906,0.0,0.0,26.0,6919.794686156015,11104442.0,0.0,2.4463513102869463,84000026.0,USA,111190.5577500509,0.0,2021-03-21,0.0,0.0
Minnesota,US,03-21-2021,45.6945,-93.9002,505224,6850,0.0,0.0,27.0,8958.456863852109,7424801.0,0.0,1.3558342438205628,84000027.0,USA,131653.9979913583,0.0,2021-03-21,0.0,0.0
Mississippi,US,03-21-2021,32.7416,-89.6787,302837,6956,0.0,0.0,28.0,10175.465005280314,1804320.0,0.0,2.296945221356704,84000028.0,USA,60625.99688389258,0.0,2021-03-21,0.0,0.0
Missouri,US,03-21-2021,38.4561,-92.2884,575253,8718,0.0,0.0,29.0,9372.867592092323,4737537.0,0.0,1.5155070899239118,84000029.0,USA,77190.91775903522,0.0,2021-03-21,0.0,0.0
Montana,US,03-21-2021,46.9219,-110.4544,103060,1414,0.0,0.0,30.0,9642.788305897016,1168518.0,0.0,1.3720163011837765,84000030.0,USA,109332.15316932047,0.0,2021-03-21,0.0,0.0
Nebraska,US,03-21-2021,41.1254,-98.2681,206388,2135,0.0,0.0,31.0,10669.310714182324,2517512.0,0.0,1.0344593677927012,84000031.0,USA,130143.79593136506,0.0,2021-03-21,0.0,0.0
Nevada,US,03-21-2021,38.3135,-117.0554,301178,5172,0.0,0.0,32.0,9778.011243586365,2877909.0,0.0,1.7172569045547816,84000032.0,USA,93433.8715311822,0.0,2021-03-21,0.0,0.0
New Hampshire,US,03-21-2021,43.4525,-71.5639,80543,1217,0.0,0.0,33.0,5923.5381636244765,1601144.0,0.0,1.5109941273605405,84000033.0,USA,117756.19966301662,0.0,2021-03-21,0.0,0.0
New Jersey,US,03-21-2021,40.2989,-74.521,865886,24174,0.0,0.0,34.0,9748.564261741754,11644702.0,0.0,2.791822480095532,84000034.0,USA,131101.6990179224,0.0,2021-03-21,0.0,0.0
New Mexico,US,03-21-2021,34.8405,-106.2485,189731,3889,0.0,0.0,35.0,9048.47271761312,2911416.0,0.0,2.049744111399824,84000035.0,USA,138848.51840564967,0.0,2021-03-21,0.0,0.0
New York,US,03-21-2021,42.1657,-74.9481,1782769,49226,0.0,0.0,36.0,9164.229623563522,42552274.0,0.0,2.7612102297044654,84000036.0,USA,218737.7107975245,0.0,2021-03-21,0.0,0.0
North Carolina,US,03-21-2021,35.6301,-79.8064,895263,11820,0.0,0.0,37.0,8536.001427906183,10211781.0,0.0,1.320282419802896,84000037.0,USA,97365.55313630211,0.0,2021-03-21,0.0,0.0
North Dakota,US,03-21-2021,47.5289,-99.784,101486,1492,0.0,0.0,38.0,13338.940926066383,1448603.0,0.0,1.467767164120373,84000038.0,USA,190089.9139440098,0.0,2021-03-21,0.0,0.0
Northern Mariana Islands,US,03-21-2021,15.0979,145.6739,157,2,0.0,0.0,69.0,284.70912519947774,17542.0,0.0,1.2738853503184713,580.0,MNP,31811.25779776585,0.0,2021-03-21,0.0,0.0
Ohio,US,03-21-2021,40.3888,-82.7649,999750,19152,0.0,0.0,39.0,8552.839825136238,10673786.0,0.0,1.915778944736184,84000039.0,USA,91314.01048840371,0.0,2021-03-21,0.0,0.0
Oklahoma,US,03-21-2021,35.5653,-96.9289,435755,4788,0.0,0.0,40.0,11012.337467219244,3671020.0,0.0,1.0987825727759866,84000040.0,USA,92773.48759947949,0.0,2021-03-21,0.0,0.0
Oregon,US,03-21-2021,44.572,-122.0709,161531,2363,0.0,0.0,41.0,3829.802569482165,4038731.0,0.0,1.4628770947991407,84000041.0,USA,95755.87572198076,0.0,2021-03-21,0.0,0.0
Pennsylvania,US,03-21-2021,40.5908,-77.2098,995938,24816,0.0,0.0,42.0,7779.556754813647,11263489.0,0.0,2.491721372213933,84000042.0,USA,87982.33618229168,0.0,2021-03-21,0.0,0.0
Puerto Rico,US,03-21-2021,18.2208,-66.5901,104516,2096,0.0,0.0,72.0,3272.574016170616,1801709.0,0.0,2.005434574610586,630.0,PRI,56414.57822822099,0.0,2021-03-21,0.0,0.0
Rhode Island,US,03-21-2021,41.6809,-71.5118,133039,2595,0.0,0.0,44.0,12558.419651091554,3323071.0,0.0,1.9505558520433857,84000044.0,USA,313686.36376079544,0.0,2021-03-21,0.0,0.0
South Carolina,US,03-21-2021,33.8569,-80.945,541582,9007,0.0,0.0,45.0,10518.781971575814,5443276.0,0.0,1.663090723103796,84000045.0,USA,105721.07908887538,0.0,2021-03-21,0.0,0.0
South Dakota,US,03-21-2021,44.2998,-99.4388,115867,1923,0.0,0.0,46.0,13097.36293871424,712963.0,0.0,1.659661508453658,84000046.0,USA,80591.84386300258,0.0,2021-03-21,0.0,0.0
Tennessee,US,03-21-2021,35.7478,-86.6923,794415,11652,0.0,0.0,47.0,11637.16139023548,7060847.0,0.0,1.46944466115195,84000047.0,USA,103392.40148222903,0.0,2021-03-21,0.0,0.0
Texas,US,03-21-2021,31.0545,-97.5635,2792471,47346,0.0,0.0,48.0,9630.578219023591,20683375.0,0.0,1.6954876165231438,84000048.0,USA,71332.11437859053,0.0,2021-03-21,0.0,0.0
Utah,US,03-21-2021,40.15,-111.8624,381629,2062,0.0,0.0,49.0,11903.742968560411,3007682.0,0.0,0.5403153324301875,84000049.0,USA,93815.38997079812,0.0,2021-03-21,0.0,0.0
Vermont,US,03-21-2021,44.0459,-72.7107,17740,219,0.0,0.0,50.0,2842.998834915359,1243565.0,0.0,1.234498308906426,84000050.0,USA,199292.77599444863,0.0,2021-03-21,0.0,0.0
Virgin Islands,US,03-21-2021,18.3358,-64.8963,2767,25,0.0,0.0,78.0,2579.520453443711,50108.0,0.0,0.9035056017347308,850.0,VIR,46712.90599246746,0.0,2021-03-21,0.0,0.0
Virginia,US,03-21-2021,37.7693,-78.17,604904,10117,0.0,0.0,51.0,7086.903561458887,6295968.0,0.0,1.6724967928795311,84000051.0,USA,73761.98213605992,0.0,2021-03-21,0.0,0.0
Washington,US,03-21-2021,47.4009,-121.4905,354782,5174,0.0,0.0,53.0,4659.054303192442,5671210.0,0.0,1.4583603452260825,84000053.0,USA,74475.24213406544,0.0,2021-03-21,0.0,0.0
West Virginia,US,03-21-2021,38.4912,-80.9545,137826,2606,0.0,0.0,54.0,7690.552170106582,2382122.0,0.0,1.8907898364604647,84000054.0,USA,132920.01158387118,0.0,2021-03-21,0.0,0.0
Wisconsin,US,03-21-2021,44.2685,-89.6165,629407,7240,0.0,0.0,55.0,10810.032367906617,7402565.0,0.0,1.1502890816276272,84000055.0,USA,1.2713866743702032e-05,0.0,2021-03-21,0.0,0.0
Wyoming,US,03-21-2021,42.756,-107.3025,55581,693,0.0,0.0,56.0,9603.479168358504,669237.0,0.0,1.2468289523398284,84000056.0,USA,115633.1046255868,0.0,2021-03-21,0.0,0.0
