Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,07-24-2022,32.3182,-86.9023,1407699,19872,0.0,0.0,1.0,28709.88959217325,7949437.0,0.0,1.411665419951282,84000001.0,USA,162128.02494704974,0.0
Alaska,US,07-24-2022,61.3707,-152.4044,281203,1309,0.0,0.0,2.0,38439.6038521212,0.0,0.0,0.4655000124465244,84000002.0,USA,0.0,0.0
American Samoa,US,07-24-2022,-14.271,-170.132,7471,33,0.0,0.0,60.0,13427.149044769145,0.0,0.0,0.4417079373577834,16.0,ASM,0.0,0.0
Arizona,US,07-24-2022,33.7298,-111.4312,2179180,30698,0.0,0.0,4.0,29939.067558197414,20213642.0,0.0,1.4086950137207574,84000004.0,USA,277708.8599543024,0.0
Arkansas,US,07-24-2022,34.9697,-92.3731,894975,11673,0.0,0.0,5.0,29656.4985665073,5344269.0,0.0,1.3042822425207408,84000005.0,USA,177091.32203416788,0.0
California,US,07-24-2022,36.1162,-119.6816,10580256,93209,0.0,0.0,6.0,26777.17221832849,178242636.0,0.0,0.8809711220598065,84000006.0,USA,451107.5876444613,0.0
Colorado,US,07-24-2022,39.0598,-105.3111,1585932,12938,0.0,0.0,8.0,27539.585075613817,19287087.0,0.0,0.8157979030626786,84000008.0,USA,334918.7564771158,0.0
Connecticut,US,07-24-2022,41.5978,-72.7554,848549,11093,0.0,0.0,9.0,23800.29994780224,14648536.0,0.0,1.3072904452188383,84000009.0,USA,410865.5488323941,0.0
Delaware,US,07-24-2022,39.3185,-75.5071,291619,3021,0.0,0.0,10.0,29947.60537460822,3451352.0,0.0,1.0359407308851618,84000010.0,USA,354434.1339379973,0.0
Diamond Princess,US,07-24-2022,0.0,0.0,49,0,0.0,0.0,88888.0,0.0,0.0,0.0,0.0,84088888.0,USA,0.0,0.0
District of Columbia,US,07-24-2022,38.8974,-77.0268,161169,1363,0.0,0.0,11.0,22836.589212312025,0.0,0.0,0.845696132630965,84000011.0,USA,0.0,0.0
Florida,US,07-24-2022,27.7663,-81.6868,6716112,77098,0.0,0.0,12.0,31270.110067927548,61016335.0,0.0,1.147955841117599,84000012.0,USA,284091.07998668577,0.0
Georgia,US,07-24-2022,33.0406,-83.6431,2721391,38933,0.0,0.0,13.0,25631.370248694056,19184052.0,0.0,1.430628674821075,84000013.0,USA,180684.63505692483,0.0
Grand Princess,US,07-24-2022,0.0,0.0,103,3,0.0,0.0,99999.0,0.0,0.0,0.0,2.912621359223301,84099999.0,USA,0.0,0.0
Guam,US,07-24-2022,13.4443,144.7937,54163,377,0.0,0.0,66.0,32980.167936235375,456815.0,0.0,0.6960471170356147,316.0,GUM,278157.32909534854,0.0
Hawaii,US,07-24-2022,21.0943,-157.4983,321869,1548,0.0,0.0,15.0,22732.916534828008,4153682.0,0.0,0.4809410039488114,84000015.0,USA,293365.6432219862,0.0
Idaho,US,07-24-2022,44.2405,-114.4788,475344,5017,0.0,0.0,16.0,26599.144407170417,1255320.0,0.0,1.0554461610959642,84000016.0,USA,70244.78684323178,0.0
Illinois,US,07-24-2022,40.3495,-88.9861,3528282,38812,0.0,0.0,17.0,27843.52777710481,0.0,0.0,1.1000254514803522,84000017.0,USA,0.0,0.0
Indiana,US,07-24-2022,39.8494,-86.2583,1813158,24061,0.0,0.0,18.0,26932.546311996088,20454402.0,0.0,1.3270216936417014,84000018.0,USA,303828.5296423066,0.0
Iowa,US,07-24-2022,42.0115,-93.2105,811227,9759,0.0,0.0,19.0,25711.85425362988,0.0,0.0,1.2029925039477236,84000019.0,USA,0.0,0.0
Kansas,US,07-24-2022,38.5266,-96.7265,828010,8966,0.0,0.0,20.0,28421.584491064128,0.0,0.0,1.0828371638023695,84000020.0,USA,0.0,0.0
Kentucky,US,07-24-2022,37.6681,-84.6701,1444443,16330,0.0,0.0,21.0,32330.991995161687,0.0,0.0,1.1305395920780537,84000021.0,USA,0.0,0.0
