FIPS,Date,Province_State,Lat,Long_,Confirmed,Deaths,Testing_Rate,Mortality_Rate
1.0,04-12-2020,AL,32.3182,-86.9023,3667,93,1265.0756600046705,2.536133078811017
2.0,04-12-2020,AK,61.3707,-152.4044,272,8,1344.711576,2.9411764705882355
4.0,04-12-2020,AZ,33.7298,-111.4312,3542,115,578.5222863,3.2467532467532467
5.0,04-12-2020,AR,34.9697,-92.3731,1280,27,761.7533537,2.109375
6.0,04-12-2020,CA,36.1162,-119.6816,22201,632,485.4238685,2.8422143146705103
8.0,04-12-2020,CO,39.0598,-105.3111,7307,289,615.3899908,3.9551115368824417
9.0,04-12-2020,CT,41.5978,-72.7554,12035,554,1156.148159,4.603240548400499
10.0,04-12-2020,DE,39.3185,-75.5071,1625,49,1140.214672,3.015384615384616
12.0,04-12-2020,FL,27.7663,-81.6868,19895,461,1508.5201946555171,2.3171651168635337
13.0,04-12-2020,GA,33.0406,-83.6431,12452,433,537.0439828,3.4773530356569227
15.0,04-12-2020,HI,21.0943,-157.4983,499,9,1269.118355,1.8036072144288573
16.0,04-12-2020,ID,44.2405,-114.4788,1407,27,888.4214004,1.9189765458422168
17.0,04-12-2020,IL,40.3495,-88.9861,20852,720,858.3672336,3.4529061960483407
18.0,04-12-2020,IN,39.8494,-86.2583,7928,448,649.2823801,5.650857719475278
19.0,04-12-2020,IA,42.0115,-93.2105,1587,41,671.2677046,2.58349086326402
20.0,04-12-2020,KS,38.5266,-96.7265,1344,63,543.4925249,4.6875
21.0,04-12-2020,KY,37.6681,-84.6701,1963,97,717.6402439,4.941416199694346
22.0,04-12-2020,LA,31.1695,-91.8678,20595,840,2263.19295,4.0786598689002185
23.0,04-12-2020,ME,44.6939,-69.3819,633,19,572.4842974,3.001579778830964
24.0,04-12-2020,MD,39.0639,-76.8021,8225,236,837.3076732,2.869300911854104
25.0,04-12-2020,MA,42.2302,-71.5301,25475,756,1700.668379,2.967615309126595
26.0,04-12-2020,MI,43.3266,-84.5361,24244,1479,997.0430232,6.100478468899522
27.0,04-12-2020,MN,45.6945,-93.9002,1621,70,756.5229662,4.318322023442319
28.0,04-12-2020,MS,32.7416,-89.6787,2781,96,739.6019489,3.451995685005394
29.0,04-12-2020,MO,38.4561,-92.2884,4352,120,771.4026695,2.7573529411764706
30.0,04-12-2020,MT,46.9219,-110.4544,387,6,1029.230231,1.550387596899225
31.0,04-12-2020,NE,41.1254,-98.2681,791,17,700.924163,2.149178255372945
32.0,04-12-2020,NV,38.3135,-117.0554,2836,112,815.8260508,3.9492242595204514
33.0,04-12-2020,NH,43.4525,-71.5639,929,23,849.5923030702847,2.4757804090419806
34.0,04-12-2020,NJ,40.2989,-74.521,61850,2350,1426.844055,3.799514955537591
35.0,04-12-2020,NM,34.8405,-106.2485,1245,26,1720.625619,2.0883534136546187
36.0,04-12-2020,NY,42.1657,-74.9481,189033,9382,2737.680538,4.963154581475192
37.0,04-12-2020,NC,35.6301,-79.8064,4570,89,626.5354222,1.947483588621444
38.0,04-12-2020,ND,47.5289,-99.784,331,7,1706.743533,2.272727272727273
39.0,04-12-2020,OH,40.3888,-82.7649,6604,363,565.9906245,5.496668685645064
